res_code,aTST,srTST,difference
38512,5.6,4,1.6
16532,6.45,5,1.45
38262,5.89,4.5,1.39
86391,8.42,6,2.42
87632,5.55,4.33,1.22
22022,6.08,4,2.08
43661,5.11,5,0.11
54462,5.68,5.25,0.43
4881,5.46,4.75,0.71
65422,5.31,4,1.31
24442,6.68,5,1.68
27721,6.34,6,0.34
86392,5.14,4,1.14
23581,6.88,6,0.88
41251,5.35,7,-1.65
81902,6.2,7,-0.8
86382,6.03,6,0.03
26231,5.51,5,0.51
54021,6.2,6,0.2
5472,5.89,4.5,1.39
74971,5.69,3,2.69
4882,6.44,5.5,0.94
35981,4.88,5,-0.12
69722,6.74,6,0.74
4162,5.57,5.5,0.07
33572,5.83,4,1.83
40691,5.84,6,-0.16
87241,6.43,4,2.43
86271,7.39,6,1.39
72642,8.23,6,2.23
43971,5.37,5.08,0.28
41722,7.94,8,-0.06
24891,7.64,7.5,0.14
38501,4.82,4,0.82
68341,6.39,6,0.39
44032,5.09,6,-0.92
76091,6.53,6,0.53
76092,5.82,5.5,0.32
83241,5.65,6,-0.35
86812,6.26,6,0.26
4111,6.73,6,0.73
23701,6.69,6,0.69
45591,7.04,6,1.04
2542,5.66,5,0.66
41002,6.35,7,-0.65
86051,5.52,4,1.52
26232,5.75,4,1.75
78342,5.09,7,-1.91
72522,6.21,6,0.21
24571,5.88,6,-0.13
24231,5.42,6,-0.58
33101,6.3,7,-0.7
31911,6.82,7,-0.18
90711,5.75,6,-0.25
67331,5.15,4,1.15
70421,5.36,6,-0.64
18581,5.42,7,-1.58
73381,4.97,4.5,0.47
60101,7.17,8,-0.83
45262,5.51,5,0.51
4981,5.47,5,0.47
68771,5.9,7,-1.1
94081,7.34,3,4.34
15661,7.54,8.5,-0.96
40392,5.56,5.5,0.06
32112,6.15,7,-0.85
79822,5.68,6,-0.32
59721,7.73,7,0.73
57382,8.03,8.5,-0.47
86651,6.01,7,-0.99
24771,5.72,6.5,-0.79
41372,7.24,8,-0.76
2571,5.54,4,1.54
41171,5.51,6,-0.49
72351,6.27,8,-1.73
26401,5.21,6,-0.79
81531,6,7,-1
21012,5.56,5.5,0.06
78341,6.16,8,-1.84
57011,7.57,8.33,-0.77
57702,6.72,7.5,-0.78
562,4.38,5,-0.62
79471,6.28,6,0.28
26402,5.45,7,-1.55
67781,5.73,5,0.73
42101,6.86,8,-1.14
34532,5.52,5,0.52
21921,5.6,6,-0.4
27982,5.25,5,0.25
40531,5.79,6.5,-0.71
44041,6.1,7.17,-1.07
24772,5.16,6,-0.84
37571,5.25,6.5,-1.25
92942,6.06,6.5,-0.44
51401,6,7.33,-1.34
60102,6.96,8,-1.04
15842,6.58,8,-1.42
39331,5.42,7.5,-2.08
23242,5.44,5,0.44
23582,6.77,8,-1.23
37572,4.5,5.5,-1
88092,5.97,6,-0.03
23241,6.25,6,0.25
13612,6.63,8,-1.37
16212,6,7,-1
29391,6.02,6,0.02
67492,6.24,8,-1.76
7432,6.21,8,-1.79
41172,5.73,7,-1.27
48222,6.14,6,0.14
59771,7.02,7,0.01
44452,5.47,7,-1.53
45592,5.59,6,-0.41
42052,6.56,8.5,-1.94
74032,5.11,4,1.11
34241,7.74,6,1.74
47892,5.61,6.5,-0.89
15841,6.58,8,-1.42
38101,8.1,9,-0.9
44451,6.42,7,-0.58
73382,5.51,6,-0.49
41371,7.15,8,-0.85
18582,4.93,7,-2.07
84082,6.66,9,-2.34
15631,5.21,6.75,-1.54
70422,5.28,6,-0.72
33791,6.59,5,1.59
77801,4.53,6,-1.47
86272,7.25,5,2.25
23461,6.31,8,-1.69
70082,5.86,9,-3.14
54442,8.45,7.75,0.7
33751,6.27,8,-1.73
2572,5.51,6,-0.49
35781,5.99,8,-2.01
70081,5.08,7,-1.92
34242,7.44,10,-2.56
45301,6.67,7,-0.33
88091,6.24,7.5,-1.26
90122,5.01,7,-1.99
23702,5.9,6,-0.1
77891,6.35,6,0.35
44031,4.86,6.5,-1.64
33571,5.63,4,1.63
92941,5.84,5,0.84
78851,5.64,7,-1.36
82581,6.34,9,-2.66
77892,6.43,5,1.43
27981,5.08,7,-1.92
54461,4.89,7.42,-2.53
90712,5.15,7,-1.85
43261,3.97,5,-1.03
68961,5.79,9,-3.21
48221,4.45,5,-0.55
82391,5.57,10,-4.43
44711,5.53,7,-1.47
40692,5.85,8,-2.15
21011,5.53,7,-1.47
33102,5.42,7.5,-2.08
84501,5.72,8,-2.28
42051,5.45,8.5,-3.05
77372,4.69,9,-4.32
72341,6.84,7,-0.16
37451,6.13,8,-1.87
2541,4.86,6,-1.14
49352,5.38,4,1.38
26611,4.01,5,-0.99
28402,6.84,8,-1.16
43122,5.71,8,-2.29
16531,4.01,7,-2.99
7431,6.38,10,-3.62
44722,4.98,8,-3.03
15632,4.5,5,-0.5
67491,6,12,-6
44721,5.22,7,-1.78
