res_code,aTiB,srTiB,difference
38512,6.98,4.5,2.48
16532,7.54,5.75,1.79
38262,6.55,5,1.55
86391,10.13,8,2.13
87632,6.92,5.5,1.42
22022,7.43,6,1.42
43661,6.73,5.5,1.23
54462,6.73,5.5,1.23
4881,6.12,5,1.12
65422,6.07,5,1.07
24442,7.28,6,1.28
27721,7.83,6.5,1.33
86392,6,5,1
23581,7.78,6.5,1.28
41251,8.38,7,1.38
81902,8.35,7,1.35
86382,7.11,6,1.11
26231,6.5,5.5,1
54021,7.01,6,1.01
5472,7.59,6.5,1.09
74971,7.56,6.5,1.06
4882,6.96,6,0.96
35981,5.77,5,0.77
69722,7.99,7,0.99
4162,6.57,5.75,0.82
33572,6.78,6,0.78
40691,6.78,6,0.78
87241,7.88,7,0.88
86271,8.36,7.5,0.86
72642,8.9,8,0.9
43971,5.82,5.25,0.57
41722,8.76,8,0.76
24891,8.75,8,0.75
38501,7.1,6.5,0.6
68341,7.6,7,0.6
44032,6.51,6,0.5
76091,7.28,6.75,0.53
76092,6.99,6.5,0.49
83241,6.43,6,0.43
86812,6.93,6.5,0.43
4111,7.45,7,0.45
23701,7.97,7.5,0.47
45591,8.49,8,0.49
2542,6.32,6,0.32
41002,7.33,7,0.33
86051,6.02,5.75,0.27
26232,6.27,6,0.27
78342,7.31,7,0.31
72522,7.28,7,0.28
24571,6.23,6,0.23
24231,7.26,7,0.26
33101,8.27,8,0.27
31911,7.74,7.5,0.24
90711,6.7,6.5,0.2
67331,5.67,5.5,0.17
70421,7.72,7.5,0.22
18581,7.17,7,0.17
73381,5.61,5.5,0.11
60101,8.68,8.5,0.18
45262,6.38,6.25,0.13
4981,6.12,6,0.12
68771,7.14,7,0.14
94081,8.16,8,0.16
15661,8.92,8.75,0.17
40392,6.1,6,0.1
32112,7.12,7,0.12
79822,6.61,6.5,0.11
59721,9.15,9,0.15
57382,8.63,8.5,0.13
86651,7.1,7,0.1
24771,7.86,7.75,0.11
41372,8.04,8,0.04
2571,6.03,6,0.03
41171,6.52,6.5,0.02
72351,7.94,8,-0.06
26401,6.45,6.5,-0.05
81531,6.91,7,-0.09
21012,6.15,6.25,-0.1
78341,7.85,8,-0.15
57011,8.33,8.5,-0.17
57702,7.35,7.5,-0.15
562,5.88,6,-0.12
79471,6.86,7,-0.14
26402,7.09,7.25,-0.16
67781,6.35,6.5,-0.15
42101,7.79,8,-0.21
34532,6.31,6.5,-0.19
21921,6.29,6.5,-0.21
27982,6.29,6.5,-0.21
40531,6.51,6.75,-0.24
44041,7.21,7.5,-0.29
24772,6.7,7,-0.3
37571,6.22,6.5,-0.28
92942,6.69,7,-0.31
51401,7.12,7.5,-0.38
60102,8.04,8.5,-0.46
15842,7.51,8,-0.49
39331,7.04,7.5,-0.46
23242,6.56,7,-0.44
23582,7.49,8,-0.51
37572,5.15,5.5,-0.35
88092,6.54,7,-0.46
23241,7.45,8,-0.55
13612,7.43,8,-0.57
16212,7.39,8,-0.61
29391,6.9,7.5,-0.6
67492,7.35,8,-0.65
7432,7.34,8,-0.66
41172,7.34,8,-0.66
48222,6.87,7.5,-0.63
59771,7.78,8.5,-0.72
44452,6.41,7,-0.59
45592,6.34,7,-0.66
42052,8.12,9,-0.88
74032,5.86,6.5,-0.64
34241,8.56,9.5,-0.94
47892,6.3,7,-0.7
15841,7.49,8.33,-0.84
38101,9.43,10.5,-1.07
44451,7.62,8.5,-0.88
73382,5.82,6.5,-0.68
41371,8.05,9,-0.95
18582,6.23,7,-0.77
84082,7.94,9,-1.06
15631,6.13,7,-0.87
70422,6.42,7.33,-0.91
33791,6.97,8,-1.03
77801,6.08,7,-0.92
86272,8.1,9.33,-1.23
23461,7.36,8.5,-1.14
70082,7.77,9,-1.23
54442,9.42,11,-1.58
33751,7.69,9,-1.31
2572,6.4,7.5,-1.1
35781,7.18,8.5,-1.32
70081,6.45,7.67,-1.22
34242,8.36,10,-1.64
45301,7.92,9.5,-1.58
88091,7.09,8.5,-1.41
90122,6.24,7.5,-1.26
23702,7.45,9,-1.55
77891,6.99,8.5,-1.51
44031,5.75,7,-1.25
33571,6.53,8,-1.47
92941,7.74,9.5,-1.76
78851,6.51,8,-1.49
82581,7.3,9,-1.7
77892,7.21,9,-1.79
27981,5.59,7,-1.41
54461,5.96,7.5,-1.54
90712,5.95,7.5,-1.55
43261,4.35,5.5,-1.15
68961,7.12,9,-1.88
48221,5.5,7,-1.5
82391,7.84,10,-2.16
44711,6.26,8,-1.74
40692,6.64,8.5,-1.86
21011,6.25,8,-1.75
33102,6.21,8,-1.79
84501,6.59,8.5,-1.91
42051,6.89,9,-2.11
77372,6.83,9,-2.17
72341,7.56,10,-2.44
37451,7.13,9.5,-2.38
2541,5.53,7.5,-1.97
49352,6.22,8.5,-2.28
26611,5.84,8,-2.16
28402,7.99,11,-3.01
43122,6.84,9.5,-2.66
16531,5,7,-2
7431,8.11,11.5,-3.39
44722,6.32,9,-2.68
15632,5.5,8,-2.5
67491,7.81,12,-4.19
44721,6.21,11,-4.79
